file_id	perseus_id	perseus_author	wikidata_work_id	wikidata_work_label	selected_english_translation	historian	main_language	author_code	author_wikidata_id	author_impact_date	languages	file_path	editors	pub_date	n_characters	n_words	n_pages	perseus_title	wikidata_author_in_db	instance_of	genre	form_of_creative_work	confidence
tlg0019.tlg006.perseus-eng2	tlg0019.tlg006	Aristophanes	Q1164079	The Birds	1	0	English	tlg0019	Q43353	-409	eng; grc; lat	tlg0019/tlg006/tlg0019.tlg006.perseus-eng2.xml	Anonymous; Eugene O'Neill, Jr.; Whitney J. Oates	1938	99721	16933	68	Birds	Aristophanes	dramatic work	Old Comedy	play	100
tlg0019.tlg003.perseus-eng2	tlg0019.tlg003	Aristophanes	Q868447	The Clouds	1	0	English	tlg0019	Q43353	-409	eng; grc; lat	tlg0019/tlg003/tlg0019.tlg003.perseus-eng2.xml	William James Hickie	1853	91442	15432	62	Clouds	Aristophanes	dramatic work	Old Comedy	play	100
tlg0020.tlg001.perseus-eng2	tlg0020.tlg001	Hesiod	Q156498	Theogony	1	0	English	tlg0020	Q44233	-740	eng; grc	tlg0020/tlg001/tlg0020.tlg001.perseus-eng2.xml	Hugh G. Evelyn-White	1914	92564	10459	42	Theogony	Hesiod	literary work	narrative poetry		100
tlg0020.tlg002.perseus-eng2	tlg0020.tlg002	Hesiod	Q667285	Works and Days	1	0	English	tlg0020	Q44233	-740	eng; grc	tlg0020/tlg002/tlg0020.tlg002.perseus-eng2.xml	Hugh G. Evelyn-White	1914	52115	9091	36	Works and Days	Hesiod	literary work	poetry, didactic poetry	poem	100
tlg0020.tlg003.perseus-eng2	tlg0020.tlg003	Hesiod	Q599487	Shield of Heracles	1	0	English	tlg0020	Q44233	-740	eng; grc	tlg0020/tlg003/tlg0020.tlg003.perseus-eng2.xml	Hugh G. Evelyn-White	1914	28348	4773	19	Shield of Heracles	Pseudo-Hesiod	literary work	epic poem	poem	89
tlg0026.tlg003.perseus-eng2	tlg0026.tlg003	Aeschines	Q87212460	Against Ctesiphon	1	0	English	tlg0026	Q317089	-354	grc; eng	tlg0026/tlg003/tlg0026.tlg003.perseus-eng2.xml	Charles Darwin Adams	1919	170921	30366	121	Against Ctesiphon	Aeschines	literary work, oration			100
tlg0026.tlg001.perseus-eng2	tlg0026.tlg001	Aeschines	Q2995964	Against Timarchus	1	0	English	tlg0026	Q317089	-354	grc; eng	tlg0026/tlg001/tlg0026.tlg001.perseus-eng2.xml	Charles Darwin Adams	1919	128288	23085	92	Against Timarchus	Aeschines	oration, literary work			100
tlg0026.tlg002.perseus-eng2	tlg0026.tlg002	Aeschines	Q18485043	On the Embassy	1	0	English	tlg0026	Q317089	-354	grc; eng	tlg0026/tlg002/tlg0026.tlg002.perseus-eng2.xml	Charles Darwin Adams	1919	120479	21426	86	On the Embassy	Aeschines	literary work, oration			100
tlg0027.tlg001.perseus-eng2	tlg0027.tlg001	Andocides	Q87737021	On the Mysteries	1	0	English	tlg0027	Q492228	-500	grc; eng; lat	tlg0027/tlg001/tlg0027.tlg001.perseus-eng2.xml	Kenneth John Maidment	1941	106628	18619	74	On the Mysteries	Andocides	literary work, oration			100
tlg0027.tlg003.perseus-eng2	tlg0027.tlg003	Andocides	Q87737023	On the Peace with Sparta	1	0	English	tlg0027	Q492228	-500	eng; grc; lat	tlg0027/tlg003/tlg0027.tlg003.perseus-eng2.xml	Kenneth John Maidment	1941	30121	5221	21	On the Peace with Sparta	Andocides	literary work, oration			100
tlg0027.tlg004.perseus-eng2	tlg0027.tlg004	Andocides			1	0	English	tlg0027	Q492228	-500	eng; grc; lat	tlg0027/tlg004/tlg0027.tlg004.perseus-eng2.xml	Kenneth John Maidment	1941	29491	5226	21	Against Alcibiades					0
tlg0028.tlg005.perseus-eng2	tlg0028.tlg005	Antiphon	Q87738365	On the Murder of Herodes	1	0	English	tlg0028	Q15078686	-500	grc; lat; eng	tlg0028/tlg005/tlg0028.tlg005.perseus-eng2.xml	Kenneth John Maidment	1941	64449	11540	46	On the Murder of Herodes	Antiphon of Rhamnus	literary work, oration			88
tlg0028.tlg006.perseus-eng2	tlg0028.tlg006	Antiphon	Q87738364	On the Choreutes	1	0	English	tlg0028	Q15078686	-500	grc; lat; eng	tlg0028/tlg006/tlg0028.tlg006.perseus-eng2.xml	Kenneth John Maidment	1941	35112	6061	24	On the Choreutes	Antiphon of Rhamnus	oration, literary work			88
