file_id	perseus_id	perseus_author	wikidata_work_id	wikidata_work_label	selected_english_translation	historian	main_language	author_code	author_wikidata_id	author_impact_date	languages	file_path	editors	pub_date	n_characters	n_words	n_pages	perseus_title	wikidata_author_in_db	instance_of	genre	form_of_creative_work	confidence
tlg0006.tlg018.perseus-eng2	tlg0006.tlg018	Euripides	Q1233770	Iphigenia in Aulis	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg018/tlg0006.tlg018.perseus-eng2.xml	Edward P. Coleridge	1891	98059	17514	70	Iphigenia in Aulis	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg019.perseus-eng3	tlg0006.tlg019	Euripides	Q63721447	Rhesus	1	0	English	tlg0006	Q48305	-445	eng; lat	tlg0006/tlg019/tlg0006.tlg019.perseus-eng3.xml	Edward P. Coleridge	1906	132892	24264	97	Rhesus	Euripides	version, edition or translation, translation work			100
tlg0006.tlg017.perseus-eng2	tlg0006.tlg017	Euripides	Q934597	The Bacchae	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg017/tlg0006.tlg017.perseus-eng2.xml	T. A. Buckley	1850	67699	12158	49	Bacchae	Euripides	dramatic work	Greek tragedy	play	100
tlg0006.tlg010.perseus-eng2	tlg0006.tlg010	Euripides	Q614607	Ion	1	0	English	tlg0006	Q48305	-445	eng	tlg0006/tlg010/tlg0006.tlg010.perseus-eng2.xml	Edward P. Coleridge	1906	84911	15520	62	Ion	Euripides	dramatic work	Greek tragedy, melodrama	play	100
tlg0006.tlg015.perseus-eng2	tlg0006.tlg015	Euripides	Q58852110	The Phœnician Maidens	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg015/tlg0006.tlg015.perseus-eng2.xml	Edward P. Coleridge	1891	83880	15373	61	The Phoenician Maidens	Euripides	version, edition or translation			95
tlg0006.tlg004.perseus-eng2	tlg0006.tlg004	Euripides	Q1233835	Herakles	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg004/tlg0006.tlg004.perseus-eng2.xml	Edward P. Coleridge	1906	59190	10526	42	Heracleidae	Euripides	dramatic work	Greek tragedy	play	86
tlg0006.tlg013.perseus-eng2	tlg0006.tlg013	Euripides	Q523227	Iphigenia in Tauris	1	0	English	tlg0006	Q48305	-445	eng; grc; lat	tlg0006/tlg013/tlg0006.tlg013.perseus-eng2.xml	Edward P. Coleridge	1891	70671	12999	52	Iphigenia Among the Tauri	Euripides	dramatic work	Greek tragedy, tragicomedy	play	84
tlg0007.tlg054.perseus-eng2	tlg0007.tlg054	Plutarch	Q12902599	Life of Demosthenes	1	1	English	tlg0007	Q41523	75	eng; grc	tlg0007/tlg054/tlg0007.tlg054.perseus-eng2.xml	Bernadotte Perrin	1919	63756	11145	45	Demosthenes	Plutarch	literary work	biography		100
tlg0007.tlg065.perseus-eng2	tlg0007.tlg065	Plutarch	Q12902602	Life of Galba	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg065/tlg0007.tlg065.perseus-eng2.xml	Bernadotte Perrin	1926	55038	9806	39	Galba	Plutarch	literary work	biography		100
tlg0007.tlg062.perseus-eng2	tlg0007.tlg062	Plutarch	Q87778894	Comparison of Dion and Brutus	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg062/tlg0007.tlg062.perseus-eng2.xml	Bernadotte Perrin	1918	8905	1405	6	Comparison of Dion and Brutus	Plutarch	literary work			100
tlg0007.tlg009.perseus-eng2	tlg0007.tlg009	Plutarch	Q87778848	Comparison of Solon and Publicola	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg009/tlg0007.tlg009.perseus-eng2.xml	Bernadotte Perrin	1914	8523	1421	6	Comparison of Solon and Publicola	Plutarch	literary work			100
tlg0007.tlg036.perseus-eng2	tlg0007.tlg036	Plutarch	Q12902610	Life of Lucullus	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg036/tlg0007.tlg036.perseus-eng2.xml	Bernadotte Perrin	1914	115199	20146	81	Lucullus	Plutarch	literary work	biography		100
tlg0007.tlg038.perseus-eng2	tlg0007.tlg038	Plutarch	Q100449983	Comparison of Crassus with Nicias	1	1	English	tlg0007	Q41523	75	eng; grc	tlg0007/tlg038/tlg0007.tlg038.perseus-eng2.xml	Bernadotte Perrin	1916	83513	14693	59	Nicias	Plutarch	version, edition or translation			100
tlg0007.tlg007.perseus-eng2	tlg0007.tlg007	Plutarch	Q87208306	Life of Solon	1	1	English	tlg0007	Q41523	75	eng; grc	tlg0007/tlg007/tlg0007.tlg007.perseus-eng2.xml	Bernadotte Perrin	1914	75260	13241	53	Solon	Plutarch	literary work	biography		100
tlg0007.tlg063.perseus-eng2	tlg0007.tlg063	Plutarch	Q87209824	Life of Aratus	1	1	English	tlg0007	Q41523	75	eng	tlg0007/tlg063/tlg0007.tlg063.perseus-eng2.xml	Bernadotte Perrin	1926	101812	17926	72	Aratus	Plutarch	literary work	biography		100
tlg0007.tlg064.perseus-eng2	tlg0007.tlg064	Plutarch	Q87209968	Life of Artaxerxes II	1	1	English	tlg0007	Q41523	75	eng	tlg0007/tlg064/tlg0007.tlg064.perseus-eng2.xml	Bernadotte Perrin	1926	62663	11301	45	Artaxerxes	Plutarch	literary work	biography		100
